state,county_fips,county_name,year,typical_home_value,median_household_income,home_value_to_income_ratio,zillow_months_available,zillow_data_status,home_value_source,home_value_year_method,income_source
FL,12021,Collier County,2023,621089.56,86173,7.2075,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12021,Collier County,2024,622624.96,90045,6.9146,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12023,Columbia County,2015,122127.72,41926,2.9129,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12023,Columbia County,2016,128756.76,42848,3.005,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12023,Columbia County,2017,136968.38,43504,3.1484,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12023,Columbia County,2018,150681.38,44491,3.3868,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12023,Columbia County,2019,158342.73,46494,3.4057,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12023,Columbia County,2020,175757.02,44818,3.9216,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12023,Columbia County,2021,208140.48,47750,4.359,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12023,Columbia County,2022,251638.26,53501,4.7034,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12023,Columbia County,2023,259616.19,55070,4.7143,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12023,Columbia County,2024,272131.74,59205,4.5964,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12027,DeSoto County,2015,103341.36,35165,2.9388,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12027,DeSoto County,2016,118462.65,35513,3.3358,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12027,DeSoto County,2017,134413.44,35435,3.7932,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12027,DeSoto County,2018,146415.63,35057,4.1765,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12027,DeSoto County,2019,158060.37,35438,4.4602,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12027,DeSoto County,2020,168115.77,36360,4.6236,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12027,DeSoto County,2021,199962.04,39945,5.0059,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12027,DeSoto County,2022,259017.02,45000,5.7559,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12027,DeSoto County,2023,265995.31,50868,5.2291,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12027,DeSoto County,2024,268936.42,54417,4.9421,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12029,Dixie County,2015,100498.43,36292,2.7692,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12029,Dixie County,2016,101931.2,34634,2.9431,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12029,Dixie County,2017,105478.85,35910,2.9373,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12029,Dixie County,2018,113922.11,38237,2.9794,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12029,Dixie County,2019,125364.34,39828,3.1476,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12029,Dixie County,2020,138585.81,41674,3.3255,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12029,Dixie County,2021,171668.07,44287,3.8763,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12029,Dixie County,2022,209844.6,45057,4.6573,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12029,Dixie County,2023,206688.6,47655,4.3372,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12029,Dixie County,2024,214847.21,50110,4.2875,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12031,Duval County,2015,142835.63,47690,2.9951,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12031,Duval County,2016,156197.43,49196,3.175,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12031,Duval County,2017,171602.69,51296,3.3453,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12031,Duval County,2018,187579.34,53473,3.5079,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12031,Duval County,2019,200550.15,55807,3.5936,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
